word,label
adres,correct
adri,correct
adsorbat,correct
adsorben,correct
adsorpsi,correct
adu,correct
aduan,correct
adukan,correct
aduksi,correct
aduktor,correct
adum,correct
adumla,correct
adunan,correct
adung,correct
adur,correct
adusen,correct
adveksi,correct
adven,correct
adventisia,correct
adverbia,correct
advertensi,correct
advertorial,correct
advis,correct
advokasi,correct
advokat,correct
aeolus,correct
aerasi,correct
aerator,correct
aerial,correct
aero,correct
aerob,correct
aerobatik,correct
aerobika,correct
aerobiologi,correct
aerobioskop,correct
aerodinamika,correct
aerodine,correct
aerofiarologi,correct
aerofisika,correct
aerofisiologi,correct
aerofobia,correct
aerofon,correct
aerogram,correct
aerokori,correct
aerolit,correct
aerologi,correct
aeromekanika,correct
aerometer,correct
aeromonas,correct
aeromorfosis,correct
aeromovel,correct
aeronausifobia,correct
aeronaut,correct
aeronautika,correct
aeronomi,correct
aeroplankton,correct
aeroponik,correct
aerosista,correct
aeroskop,correct
aerosol,correct
aerostat,correct
aerostatika,correct
aerotaksis,correct
aeroterapi,correct
aerotonometer,correct
aerotropisme,correct
afagia,correct
afagosis,correct
afair,correct
afal,correct
afanisme,correct
afanoplasmodium,correct
afantobion,correct
afasia,correct
afdeling,correct
afdruk,correct
afek,correct
afeksi,correct
afektivitas,correct
aferen,correct
aferesis,correct
afian,correct
afibrinogenemia,correct
afidavit,correct
afidivor,correct
afiks,correct
afiksasi,correct
afiliasi,correct
afinitas,correct
afirmasi,correct
afitik,correct
aflatoksin,correct
afluks,correct
afonia,correct
aforisme,correct
afototropisme,correct
afrasia,correct
afrika,correct
afrikat,correct
afrit,correct
afrodisiak,correct
afsun,correct
aftab,correct
aftovirus,correct
afwah,correct
aga,correct
agad,correct
agak,correct
agal,correct
agam,correct
agama,correct
agamaisme,correct
agamandroesis,correct
agamawan,correct
agamen,correct
agameon,correct
agamet,correct
agami,correct
agamobium,correct
agamodem,correct
agamogenesis,correct
agamoginoesis,correct
agamogoni,correct
agamohermafrodit,correct
agamon,correct
agamospermi,correct
agamotrop,correct
agar-agar,correct
agen,correct
agenda,correct
agenesis,correct
agens,correct
agensi,correct
agie,correct
agihan,correct
agil,correct
agio,correct
agiria,correct
agirofobia,correct
agitasi,correct
agitator,correct
agium,correct
aglaonema,correct
aglikon,correct
agliofobia,correct
aglomerasi,correct
aglomerat,correct
aglutinasi,correct
aglutinat,correct
aglutinin,correct
agmatoploid,correct
agnosia,correct
agnosterol,correct
agnostik,correct
agnostisisme,correct
agogo,correct
agok,correct
agometer,correct
agon,correct
agonia,correct
agonis,correct
agonisis,correct
agonistik,correct
agorafobia,correct
agouti,correct
agrad,correct
agradasi,correct
agrafia,correct
agrafobia,correct
agranulosit,correct
agraria,correct
agregasi,correct
agregat,correct
agresi,correct
agresivitas,correct
agresor,correct
agrestal,correct
agrikultura,correct
agriologi,correct
agriotipe,correct
agripnia,correct
agrisilvikultur,correct
agriterorisme,correct
agrium,correct
agrizoofobia,correct
agrobiologi,correct
agrobis,correct
agrobisnis,correct
agroekonomi,correct
agroekonomis,correct
agroekosistem,correct
agroekotipe,correct
agrofit,correct
agroforestri,correct
agrogeologi,correct
agroikos,correct
agroindustri,correct
agroinput,correct
agrokimia,correct
agroklimatologi,correct
agrokompleks,correct
agrologi,correct
agrometeorologi,correct
agronom,correct
agronomi,correct
agropangan,correct
agropolis,correct
agropolitan,correct
agrostologi,correct
agroterorisme,correct
agrotipe,correct
agrowisata,correct
aguk,correct
agun,correct
agunan,correct
agus,correct
agustus,correct
agustusan,correct
agut-agut,correct
ahad,correct
ahadiat,correct
ahermatipe,correct
ahilognosia,correct
ahimsa,correct
ahkam,correct
ahli,correct
ahlulbait,correct
ahlulkitab,correct
ahlulkubur,correct
ahlunujum,correct
ahlusuluk,correct
ahlusunah,correct
ahmar,correct
ahmer,correct
ahwal,correct
aib,correct
aibohfobia,correct
aids,correct
aigialium,correct
aikido,correct
aikidoka,correct
aikmofobia,correct
aikwakai,correct
aileron,correct
ailurofili,correct
ailurofilia,correct
ailurofobia,correct
ain,correct
ainulbanat,correct
ainunjariah,correct
aipda,correct
air,correct
airoran,correct
airud,correct
ais,correct
aiwo,correct
aja,correct
ajaib,correct
ajak,correct
ajakan,correct
ajal,correct
ajang,correct
ajar,correct
ajar-ajar,correct
ajaran,correct
ajen,correct
ajendam,correct
ajengan,correct
ajenrem,correct
ajeran,correct
aji,correct
aji-aji,correct
ajian,correct
ajigineng,correct
ajing,correct
ajir,correct
ajisaka,correct
ajisesirep,correct
ajnabi,correct
ajnas,correct
ajojing,correct
ajuan,correct
ajudan,correct
ajujah,correct
ajun,correct
ajuvan,correct
aka,correct
akabri,correct
akad,correct
akademi,correct
akademia,correct
akademikus,correct
akademisi,correct
akaid,correct
akak,correct
akal,correct
akal-akalan,correct
akanan,correct
akang,correct
akap,correct
akapela,correct
akapnia,correct
akar,correct
akar-akaran,correct
akaridofag,correct
akariosit,correct
akariot,correct
akarofili,correct
akarofitisme,correct
akarologi,correct
akarosesidium,correct
akasia,correct
akatalasemia,correct
akatalepsia,correct
akb,correct
akbp,correct
ake,correct
akene,correct
akhbar,correct
akhir,correct
akhiran,correct
akhirat,correct
akhirulkalam,correct
akhirusanah,correct
akhlak,correct
akhtaj,correct
akhwat,correct
aki,correct
aki-aki,correct
akibat,correct
akibatnya,correct
akidah,correct
akik,correct
akikah,correct
akilah,correct
akinesia,correct
akinet,correct
akinetik,correct
aking,correct
akit,correct
aklamasi,correct
aklasia,correct
aklimatisasi,correct
aklorhidria,correct
akmil,correct
akne,correct
akolade,correct
akomata,correct
akomodasi,correct
akon,correct
akondroplasia,correct
akonitase,correct
akor,correct
akordeon,correct
akp,correct
akpen,correct
akper,correct
akpol,correct
akpri,correct
akr,correct
akrab,correct
akreditasi,correct
akresi,correct
akri,correct
akriflavina,correct
akrilat,correct
akrilonitril,correct
akroasit,correct
akrobat,correct
akrobatik,correct
akrodermatitis,correct
akrodinia,correct
akrodon,correct
akrodron,correct
akrofobia,correct
akrogen,correct
akroglobin,correct
akrolein,correct
akromasi,correct
akromatin,correct
akromegali,correct
akrometer,correct
akromion,correct
akronim,correct
akroparaestesia,correct
akropodium,correct
akrosindesis,correct
akrosom,correct
akrospora,correct
akrosternit,correct
akrotergit,correct
akrotomorfilia,correct
akrual,correct
aks,correct
aksara,correct
aksarawan,correct
aksarawati,correct
akseleran,correct
akselerasi,correct
akselerator,correct
akselerograf,correct
akselerometer,correct
akselofilter,correct
aksen,correct
aksenik,correct
aksentologi,correct
aksentuasi,correct
aksep,correct
akseptabilitas,correct
akseptasi,correct
akseptor,correct
akses,correct
aksesi,correct
aksesibilitas,correct
aksesori,correct
aksi,correct
aksidental,correct
aksila,correct
aksiologi,correct
aksioma,correct
aksis,correct
akson,correct
aksonometri,correct
aksostil,correct
akta,correct
aktentas,correct
aktin,correct
aktina,correct
akting,correct
aktinida,correct
aktinisme,correct
aktinium,correct
aktinobiologi,correct
aktinoblas,correct
aktinodrom,correct
aktinograf,correct
aktinokimia,correct
aktinolit,correct
aktinometer,correct
aktinomikosis,correct
aktinomiset,correct
aktinomorf,correct
aktinositik,correct
aktinostele,correct
aktiva,correct
aktivasi,correct
aktivator,correct
aktivis,correct
aktivisme,correct
aktivitas,correct
aktofit,correct
aktologi,correct
aktomiosin,correct
aktor,correct
aktris,correct
aktualisasi,correct
aktuaria,correct
aktuaris,correct
aktuator,correct
aku,correct
akuades,correct
akuadestilata,correct
akuaduk,correct
akuafalfa,correct
akuakaktin,correct
akuakultur,correct
akualung,correct
akuamarin,correct
akuan,correct
akuaponik,correct
akuarel,correct
akuaris,correct
akuarium,correct
akuarius,correct
akuaskap,correct
akuastat,correct
akuatosere,correct
akuduktus,correct
akueduk,correct
akuifer,correct
akuisisi,correct
akuk,correct
akulea,correct
akulturasi,correct
akumulasi,correct
akumulator,correct
akun,correct
akuntabilitas,correct
akuntan,correct
akuntansi,correct
akuoion,correct
akuokobalamin,correct
akupresur,correct
akupunktur,correct
akupunkturis,correct
akurasi,correct
akus,correct
akusatif,correct
akustik,correct
akustika,correct
akuwu,correct
akwai,correct
akwal,correct
ala,correct
alabangka,correct
alabio,correct
alad,correct
alaestesia,correct
alaf,correct
alahan,correct
alai,correct
alai-belai,correct
alalia,correct
alam,correct
alamah,correct
alamanda,correct
alamas,correct
alamat,correct
alamatulhayat,correct
alamin,correct
alan-alan,correct
alang,correct
alang-alang,correct
alangan,correct
alanina,correct
alantoin,correct
alantoinat,correct
alantois,correct
alantokorion,correct
alap-alap,correct
alarima,correct
alarm,correct
alas,correct
alas-alasan,correct
alasan,correct
alat,correct
alatud,correct
alautogami,correct
alawar,correct
alay,correct
alazon,correct
albakora,correct
albas,correct
albasit,correct
albatros,correct
albedo,correct
albedograf,correct
albedometer,correct
alber,correct
alberzi,correct
albinisme,correct
albino,correct
albit,correct
albuginea,correct
album,correct
albumen,correct
albumin,correct
albuminat,correct
albuminimeter,correct
albuminoid,correct
albuminometer,correct
albuminosa,correct
albumosa,correct
aldakhura,correct
aldehida,correct
aldoheksosa,correct
aldol,correct
aldolase,correct
aldosteron,correct
aldotetrosa,correct
aldotriosa,correct
alegori,correct
alek,correct
aleksandrit,correct
aleksia,correct
aleksin,correct
alektorofobia,correct
alel,correct
alelokimia,correct
alelomorf,correct
alelopati,correct
alelotipe,correct
alen,correct
alena,correct
alergen,correct
alergi,correct
aletofit,correct
aleuron,correct
aleuroplas,correct
alewoh,correct
alfa,correct
alfabet,correct
alfafetoprotein,correct
alfalfa,correct
alfanumerik,correct
alferes,correct
alga,correct
algeni,correct
algilik,correct
algin,correct
alginat,correct
algisida,correct
algofag,correct
algofobia,correct
algojo,correct
algol,correct
algologi,correct
algometer,correct
algoritme,correct
algrafi,correct
alhanik,correct
alhijamah,correct
alhub,correct
ali-ali,correct
aliagrem,correct
aliah,correct
aliansi,correct
alias,correct
aliase,correct
alibi,correct
alien,correct
alienasi,correct
alif,correct
alif-alifan,correct
alifbata,correct
aligator,correct
alikuot,correct
alim,correct
alimbubu,correct
alimen,correct
alimentasi,correct
alimenter,correct
alimiah,correct
alimiat,correct
alimun,correct
alinea,correct
aling-aling,correct
aling-alingan,correct
alingan,correct
alins,correct
alip,correct
alir,correct
aliran,correct
alis,correct
alit,correct
aliterasi,correct
aliumfobia,correct
alizarin,correct
aljabar,correct
aljalil,correct
alkabir,correct
alkadim,correct
alkadir,correct
alkah,correct
alkalemia,correct
alkali,correct
alkalimeter,correct
alkalimetri,correct
alkalinisasi,correct
alkalinitas,correct
alkaloid,correct
alkalometri,correct
alkalosis,correct
alkamar,correct
alkana,correct
alkanol,correct
alkap,correct
alkapins,correct
alkapsus,correct
alkari,correct
alkasyaf,correct
alkausar,correct
alkena,correct
alkesgi,correct
alkeslap,correct
alkesprev,correct
alki,correct
alkil,correct
alkimia,correct
alkisah,correct
alkitab,correct
alkohol,correct
alkoholik,correct
alkoholisasi,correct
alkoholisis,correct
alkoholisme,correct
alkoholometer,correct
alkoholometri,correct
alkom,correct
alkomlek,correct
alkomleksus,correct
alkompur,correct
alku,correct
alkuna,correct
alkuronium,correct
alkus,correct
allah,correct
almaktub,correct
almalik,correct
almalun,correct
almamater,correct
almanak,correct
almandin,correct
almandit,correct
almarhum,correct
almarhumah,correct
almon,correct
almuazam,correct
almuhit,correct
almukhlis,correct
alnaud,correct
alodinia,correct
alofan,correct
alofon,correct
alogen,correct
alogotrofia,correct
alograf,correct
aloheteroploid,correct
alohospes,correct
aloi,correct
aloin,correct
alokarp,correct
alokasi,correct
alokinesis,correct
alokromi,correct
alokron,correct
aloksenia,correct
alokton,correct
aloktonus,correct
aloleks,correct
alolektotipe,correct
alomon,correct
alomorf,correct
alomorfosis,correct
alonim,correct
aloparasit,correct
alopati,correct
alopatrik,correct
alopelagik,correct
alopesia,correct
aloplasma,correct
aloploid,correct
alopoliploid,correct
alor,correct
alosa,correct
alosindesis,correct
alosom,correct
alosterik,correct
alosu,correct
aloterm,correct
alotetraploid,correct
alotetua,correct
alotipe,correct
alotriploid,correct
alotrof,correct
alotrop,correct
alotropi,correct
alotropik,correct
alotropisme,correct
alozim,correct
alpaka,correct
alpalkes,correct
alperes,correct
alpin,correct
alpokat,correct
alpukah,correct
alpukat,correct
alquran,correct
alri,correct
altar,correct
alteratif,correct
altern,correct
alternasi,correct
alternatif,correct
alternator,correct
altimeter,correct
alto,correct
altokumulus,correct
altostratus,correct
altrosa,correct
altruis,correct
altruisme,correct
alu,correct
alu-alu,correct
alu-aluan,correct
alue,correct
alufiru,correct
alula,correct
alum,correct
alumina,correct
aluminium,correct
alumni,correct
alumnus,correct
alun,correct
alun-alun,correct
alunan,correct
alundum,correct
alune,correct
alung,correct
aluo,correct
alur,correct
alur-alur,correct
alur-aluran,correct
aluran,correct
alusi,correct
alutsista,correct
aluviasi,correct
aluvium,correct
alveoli,correct
alveolitis,correct
alveolum,correct
alveolus,correct
alwah,correct
alwasi,correct
alwasia,correct
amaf,correct
amah,correct
amahai,correct
amai,correct
amai-amai,correct
amaksofobia,correct
amal,correct
amalaki,correct
amalan,correct
amalgam,correct
amalgamasi,correct
amalgamator,correct
amanah,correct
amanat,correct
amandel,correct
amang,correct
amanitin,correct
amantadin,correct
amantium,correct
amar,correct
amaran,correct
amarilis,correct
amatan,correct
amatir,correct
amatirisme,correct
amatofit,correct
amatofobia,correct
amatol,correct
ambah,correct
ambah-ambah,correct
ambai,correct
ambai-ambai,correct
ambaian,correct
ambal,correct
ambalan,correct
ambalang,correct
ambang,correct
ambar,correct
ambasade,correct
ambasador,correct
ambau,correct
ambayasa,correct
ambeien,correct
ambek,correct
ambekan,correct
ambelau,correct
amben,correct
amber,correct
ambergris,correct
amberit,correct
ambet,correct
ambiens,correct
ambiguitas,correct
ambilan,correct
ambilingual,correct
ambin,correct
ambinan,correct
ambing,correct
ambisi,correct
ambivalensi,correct
ambivor,correct
amblesan,correct
ambligeustia,correct
ambligonit,correct
amblikusia,correct
ambon,correct
ambretolid,correct
ambu-ambu,correct
ambua,correct
ambulans,correct
ambung,correct
ambung-ambung,correct
amd,correct
amdal,correct
ameba,correct
amebiasis,correct
amebosit,correct
ameiosis,correct
ameliorasi,correct
amendemen,correct
amenitas,correct
amensalisme,correct
amerisium,correct
amerospora,correct
amet,correct
ametabola,correct
ametesis,correct
ametis,correct
ametropia,correct
amfetamina,correct
amfiapomik,correct
amfiartrosis,correct
amfibi,correct
amfibiotik,correct
amfibol,correct
amfibolisme,correct
amfidiploid,correct
amfigea,correct
amfikarion,correct
amfimik,correct
amfipirenin,correct
amfiploid,correct
amfiprotik,correct
amfisarka,correct
amfiston,correct
amfiteater,correct
amfitop,correct
amfitrika,correct
amfitrop,correct
amfosom,correct
amfoterisin,correct
amida,correct
amidase,correct
amidasi,correct
amidina,correct
amidoksim,correct
amigdala,correct
amigdalin,correct
amikofobia,correct
amikron,correct
amiksis,correct
amil,correct
amilase,correct
amilemia,correct
amilodekstrin,correct
amiloform,correct
amiloglukosidase,correct
amilograf,correct
amiloid,correct
amiloidosis,correct
amilolisis,correct
amilom,correct
amilopektin,correct
amiloplas,correct
amiloplastid,correct
amilopsin,correct
amilosa,correct
amilum,correct
amin-amin,correct
amina,correct
aminase,correct
aminisasi,correct
aminoasiduria,correct
aminofilin,correct
aminogram,correct
aminopeptidase,correct
aminopterin,correct
amiografi,correct
amiotonia,correct
amir,correct
amirulbahar,correct
amirulhaj,correct
amirulmukminin,correct
amit,correct
amitate,correct
amitosis,correct
amjawat,correct
amko,correct
amla,correct
ammeter,correct
amn,correct
amnesti,correct
amnion,correct
amnionitis,correct
amniosentesis,correct
amodimetikona,correct
amofili,correct
amofilia,correct
amoi,correct
amoktofit,correct
amonia,correct
amonifikasi,correct
amonit,correct
amonium,correct
amor,correct
amorfognosia,correct
amosi,correct
ampai,correct
ampai-ampai,correct
ampaian,correct
ampang,correct
ampar,correct
ampas,correct
ampau,correct
ampean,correct
ampel,correct
ampela,correct
ampelas,correct
ampen,correct
ampera,correct
ampere,correct
amperemeter,correct
amperometri,correct
ampiang,correct
ampibabo,correct
ampik,correct
ampisilin,correct
amplang,correct
ampleksus,correct
amplielektronik,correct
amplifikasi,correct
amplitudo,correct
amplop,correct
ampo,correct
ampog,correct
ampon,correct
ampuh,correct
ampuk,correct
ampul,correct
ampula,correct
ampun,correct
ampunan,correct
amputan,correct
amputasi,correct
amra,correct
amril,correct
amsal,correct
amtenar,correct
amuk,correct
amukan,correct
amulet,correct
amung,correct
amung-amung,correct
amungme,correct
amunisi,correct
anabasis,correct
anabati,correct
anabelfobia,correct
anabiosis,correct
anabolik,correct
anabolisme,correct
anadrom,correct
anaerob,correct
anafilaksis,correct
anafora,correct
anaforesis,correct
anafrodisiak,correct
anaglif,correct
anai-anai,correct
anak,correct
anak-anak,correct
anak-anakan,correct
anak-beranak,correct
anakan,correct
anakanda,correct
anaklisis,correct
anakoda,correct
anakoluton,correct
anakronisme,correct
anakrus,correct
anakurung,correct
analekta,correct
analeptik,correct
analgesia,correct
analgesik,correct
analis,correct
analisis,correct
analog,correct
analogi,correct
analsit,correct
anamnesis,correct
anamorfosis,correct
ananda,correct
anang,correct
anaperenggan,correct
anapes,correct
anaptiksis,correct
anarki,correct
anarkis,correct
anarkisme,correct
anasir,correct
anastomosis,correct
anatase,correct
anateksis,correct
anatema,correct
anatomi,correct
anatrop,correct
anbia,correct
anca,correct
ancak,correct
ancala,correct
ancang,correct
ancang-ancang,correct
ancangan,correct
ancar-ancar,correct
ancol,correct
andai,correct
andaian,correct
andaka,correct
andalan,correct
andalas,correct
andaliman,correct
andalusit,correct
andaman,correct
andan,correct
andang,correct
andang-andang,correct
andangan,correct
andante,correct
andapita,correct
andaran,correct
andegan,correct
andeng-andeng,correct
ander,correct
anderak,correct
andesit,correct
andewi,correct
andi,correct
andika,correct
andiko,correct
andil,correct
andilau,correct
andoi,correct
andong,correct
andradit,correct
andragogi,correct
andrawina,correct
andresium,correct
androfili,correct
androfilia,correct
androfobia,correct
androgen,correct
androgini,correct
androginofor,correct
andrografolid,correct
android,correct
androlog,correct
andrologi,correct
andromeda,correct
andropause,correct
androstenedion,correct
androsteron,correct
anduhan,correct
andukan,correct
andung,correct
andur,correct
anekdot,correct
aneksasi,correct
anelida,correct
anemer,correct
anemia,correct
anemofili,correct
anemofobia,correct
anemogami,correct
anemograf,correct
anemogram,correct
anemokori,correct
anemometer,correct
anemon,correct
anemotrofi,correct
anensefalus,correct
anergi,correct
aneroid,correct
anestesi,correct
anestesiolog,correct
anestetik,correct
anetol,correct
aneuploid,correct
aneurina,correct
aneurisme,correct
angah,correct
angan,correct
angan-angan,correct
angga,correct
anggai,correct
anggan,correct
anggang-anggang,correct
anggapan,correct
anggar,correct
anggarakasih,correct
anggaran,correct
anggas,correct
anggau,correct
anggel-anggel,correct
angger,correct
anggitan,correct
anggo,correct
anggota,correct
anggrek,correct
anggrekwan,correct
anggu,correct
angguh,correct
angguk,correct
anggukan,correct
anggur,correct
angguran,correct
anghun,correct
angin,correct
angin-angin,correct
angina,correct
anginofobia,correct
angioedema,correct
angiogenesis,correct
angiografi,correct
angiologi,correct
angiopati,correct
angioplasti,correct
angiosperma,correct
angit,correct
angka,correct
angka-angka,correct
angkak,correct
angkal-angkal,correct
angkap,correct
angkara,correct
angkasa,correct
angkasawan,correct
angkasawati,correct
angkatan,correct
angke,correct
angkel,correct
angker,correct
angket,correct
angkin,correct
angklung,correct
angkola-mandailing,correct
angkong,correct
angkot,correct
angkring,correct
angkringan,correct
angkrok,correct
angku,correct
angkuh,correct
angkuk,correct
angkul-angkul,correct
angkup,correct
angkup-angkup,correct
angkur,correct
angkusa,correct
angkut-angkut,correct
angkutan,correct
anglo,correct
anglung,correct
angonan,correct
angora,correct
angpau,correct
angrofobia,correct
angsa,correct
angsana,correct
angsle,correct
angsoka,correct
angstrom,correct
angsuran,correct
angus,correct
anhedonia,correct
anhidrida,correct
anhidrit,correct
anhidrosis,correct
ani,correct
ani-ani,correct
anian,correct
aniaya,correct
anibenu,correct
anil,correct
anileridina,correct
animanbon,correct
animasi,correct
animato,correct
animator,correct
animatronik,correct
anime,correct
animis,correct
animisme,correct
animo,correct
aning-aning,correct
anion,correct
anis,correct
aniseikonia,correct
anisogamet,correct
anisogami,correct
anisokoria,correct
anisotropi,correct
anja,correct
anjak,correct
anjakan,correct
anjang-anjang,correct
anjangkarya,correct
anjangsana,correct
anjar,correct
anjat,correct
anjiman,correct
anjing,correct
anjing-anjing,correct
anjir,correct
anju,correct
anjun,correct
anjung,correct
anjung-anjung,correct
anjung-anjungan,correct
anjungan,correct
anjuran,correct
ankilosis,correct
ankraofobia,correct
ankum,correct
anoa,correct
anode,correct
anodin,correct
anofeles,correct
anoftalmus,correct
anoksemia,correct
anoksia,correct
anoksik,correct
anomer,correct
anomi,correct
anonimitas,correct
anopsia,correct
anorak,correct
anoreksia,correct
anorganik,correct
anorgasmia,correct
anortopsia,correct
anosmia,correct
anotang,correct
anotasi,correct
anovulasi,correct
ansa,correct
ansambel,correct
ansar,correct
ansari,correct
ansietas,correct
ansiolitik,correct
anta,correct
antagonis,correct
antagonisme,correct
antah,correct
antah-berantah,correct
antakesuma,correct
antalkali,correct
antan,correct
antanan,correct
antar-antar,correct
antara,correct
antaran,correct
antardaerah,correct
antariksa,correct
antariksawan,correct
antariksawati,correct
antarmuka,correct
antartik,correct
antartika,correct
antasid,correct
antasida,correct
antawacana,correct
antediluvium,correct
antefiks,correct
antefleksi,correct
antek,correct
anteken,correct
antelas,correct
anteliks,correct
antelmintik,correct
antelop,correct
antena,correct
antenatal,correct
anteng,correct
antenul,correct
antera,correct
anteridium,correct
anterozoid,correct
anteseden,correct
anteversi,correct
anti-kristus,correct
antiadrenergenik,correct
antiaglutinin,correct
antialergi,correct
antiamilase,correct
antianemia,correct
antiangina,correct
antiaritmia,correct
antiartritik,correct
antiasam,correct
antibakteri,correct
antibarion,correct
antibatuk,correct
antibeku,correct
antibiosis,correct
antibiotik,correct
antibodi,correct
antibusa,correct
anticemas,correct
antidegeneratif,correct
antidepresan,correct
antidioksida,correct
antidiuretik,correct
antidot,correct
antidumping,correct
antienzim,correct
antiestrogenik,correct
antiferomagnetik,correct
antiflogistik,correct
antigatal,correct
antigen,correct
antigenisitas,correct
antigravitasi,correct
antihama,correct
antihamil,correct
antihan,correct
antihemoragik,correct
antihero,correct
antihipertensi,correct
antihipertensif,correct
antihistamina,correct
antihormon,correct
antiimun,correct
antiinflamasi,correct
antijamur,correct
antijasad,correct
antik,correct
antikanker,correct
antikarsinogen,correct
antikatalis,correct
antikatode,correct
antikejang,correct
antikeringat,correct
antikeriput,correct
antikerut,correct
antiklimaks,correct
antiklin,correct
antiklorin,correct
antikoagulan,correct
antikoagulasi,correct
antikoagulin,correct
antikolesterol,correct
antikolinergik,correct
antikolinesterase,correct
antikomunikasi,correct
antikomunis,correct
antikonsepsi,correct
antikonvulsan,correct
antikorona,correct
antikorupsi,correct
antikuari,correct
antikuarian,correct
antikuariat,correct
antikuman,correct
antilengket,correct
antimalaria,correct
antimateri,correct
antimetabolit,correct
antimoni,correct
antimonium,correct
antimuntah,correct
antineuritik,correct
anting,correct
anting-anting,correct
antinomi,correct
antinovel,correct
antinyeri,correct
antioksidan,correct
antipartikel,correct
antipasat,correct
antipati,correct
antipelagra,correct
antipembekuan,correct
antipenawar,correct
antipenuaan,correct
antiperadangan,correct
antiperbudakan,correct
antiperdarahan,correct
antiperistalsis,correct
antiperosis,correct
antiperspiran,correct
antipiretik,correct
antiplatelet,correct
antipode,correct
antiproton,correct
antipruritik,correct
antipsikotik,correct
antiradang,correct
antiradikalisme,correct
antiresonans,correct
